python: can't open file '/home/esaccar/GAN-Leaks/python': [Errno 2] No such file or directory
wandb: Currently logged in as: carlo_saccardi (thesis_carlo). Use `wandb login --relogin` to force relogin
wandb: wandb version 0.14.2 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.14.0
wandb: Run data is saved locally in /home/esaccar/GAN-Leaks/wandb/run-20230418_114721-1rppuu8k
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run dutiful-snowflake-17
wandb: ⭐️ View project at https://wandb.ai/thesis_carlo/privDCGAN
wandb: 🚀 View run at https://wandb.ai/thesis_carlo/privDCGAN/runs/1rppuu8k
/opt/conda/envs/THESIS/lib/python3.10/site-packages/torch/nn/modules/container.py:139: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Namespace(lr=0.0002, batch_size=128, image_size=64, nc=3, nz=100, ngf=64, ndf=64, input_size=64, num_epochs=300, disc_epochs=50, dp_delay=100, out_size=None, beta1=0.5, beta2=0.999, data_name='celebAhuge', wandb='privDCGAN', local_config='gan_models/dcgan/dcgan_config.yaml', PATH='/home/esaccar/GAN-Leaks/model_save/privDCGAN', PATH_syn_data='/home/esaccar/GAN-Leaks/syn_data/privDCGAN', save_model=True, saved_model_name=None, training=True, generate=True, N_splits=2, privacy_ratio=0.5)
Epoch 78 of 300 complete. Loss D: 0.3572895242832601, Loss DP: 0.0, Loss G: 1.1329234905540944
Epoch 79 of 300 complete. Loss D: 0.3938030818477273, Loss DP: 0.0, Loss G: 1.1106415688991547
Epoch 80 of 300 complete. Loss D: 0.3442337052896619, Loss DP: 0.0, Loss G: 1.1884102053940295
Epoch 81 of 300 complete. Loss D: 0.34482429903000594, Loss DP: 0.0, Loss G: 1.1415075704455375
Epoch 82 of 300 complete. Loss D: 0.36483340612612664, Loss DP: 0.0, Loss G: 1.2199697390198707
Epoch 83 of 300 complete. Loss D: 0.33699565213173627, Loss DP: 0.0, Loss G: 1.2078128822147847
Epoch 84 of 300 complete. Loss D: 0.3122252753470093, Loss DP: 0.0, Loss G: 1.1726765662431717
Epoch 85 of 300 complete. Loss D: 0.3774093144573271, Loss DP: 0.0, Loss G: 1.1587440330535173
Epoch 86 of 300 complete. Loss D: 0.3047518715262413, Loss DP: 0.0, Loss G: 1.1739223033189774
Epoch 87 of 300 complete. Loss D: 0.30480851884931326, Loss DP: 0.0, Loss G: 1.2827749043703078
Epoch 88 of 300 complete. Loss D: 0.36995751354843376, Loss DP: 0.0, Loss G: 1.1708635836839676
Epoch 89 of 300 complete. Loss D: 0.3041989393532276, Loss DP: 0.0, Loss G: 1.2338461801409721
Epoch 90 of 300 complete. Loss D: 0.3240282370708883, Loss DP: 0.0, Loss G: 1.234822827577591
Epoch 91 of 300 complete. Loss D: 0.2965848634019494, Loss DP: 0.0, Loss G: 1.2818589866161347
Epoch 92 of 300 complete. Loss D: 0.3406311120837927, Loss DP: 0.0, Loss G: 1.2485142678022385
Epoch 93 of 300 complete. Loss D: 0.31924543175846337, Loss DP: 0.0, Loss G: 1.2745345488190651
Epoch 94 of 300 complete. Loss D: 0.2462892740033567, Loss DP: 0.0, Loss G: 1.2536916002631187
Epoch 95 of 300 complete. Loss D: 0.3536149695981294, Loss DP: 0.0, Loss G: 1.2579671695828438
Epoch 96 of 300 complete. Loss D: 0.2631328010931611, Loss DP: 0.0, Loss G: 1.276398441195488
Epoch 97 of 300 complete. Loss D: 0.3288865530863404, Loss DP: 0.0, Loss G: 1.3213423565030098
Epoch 98 of 300 complete. Loss D: 0.23797201276756824, Loss DP: 0.0, Loss G: 1.3162004828453064
Epoch 99 of 300 complete. Loss D: 0.2467769612558186, Loss DP: 0.0, Loss G: 1.3144547283649444
Epoch 100 of 300 complete. Loss D: 0.2759907321073115, Loss DP: 0.0, Loss G: 1.3731570214033126
Epoch 101 of 300 complete. Loss D: 0.2418341844342649, Loss DP: 302.9746334552765, Loss G: 1.419273878633976
Epoch 102 of 300 complete. Loss D: 0.34128913963213564, Loss DP: 302.9746334552765, Loss G: 1.3659547030925752
Epoch 103 of 300 complete. Loss D: 0.25090698706917464, Loss DP: 302.9746334552765, Loss G: 1.3262918025255204
Epoch 104 of 300 complete. Loss D: 0.20043151266872883, Loss DP: 302.9746334552765, Loss G: 1.41523557305336
Epoch 105 of 300 complete. Loss D: 0.40738243646919725, Loss DP: 302.9746334552765, Loss G: 1.3235064432024957
Epoch 106 of 300 complete. Loss D: 0.24473134884610773, Loss DP: 302.9746334552765, Loss G: 1.354274944961071
Epoch 107 of 300 complete. Loss D: 0.1992472684942186, Loss DP: 302.9746334552765, Loss G: 1.4436364978551866
Epoch 108 of 300 complete. Loss D: 0.24872952876612545, Loss DP: 302.9746334552765, Loss G: 1.4572764962911606
Epoch 109 of 300 complete. Loss D: 0.24264924703165888, Loss DP: 302.9746334552765, Loss G: 1.5137173477560282
Epoch 110 of 300 complete. Loss D: 0.1937684633769095, Loss DP: 302.9746334552765, Loss G: 1.4690979585051536
Epoch 111 of 300 complete. Loss D: 0.1762125147972256, Loss DP: 302.9746334552765, Loss G: 1.5295157596468925
Epoch 112 of 300 complete. Loss D: 0.35497601991519334, Loss DP: 302.9746334552765, Loss G: 1.4359017357230186
Epoch 113 of 300 complete. Loss D: 0.18532880279235542, Loss DP: 302.9746334552765, Loss G: 1.472922457754612
Epoch 114 of 300 complete. Loss D: 0.18032638595905154, Loss DP: 302.9746334552765, Loss G: 1.5669678822159767
Epoch 115 of 300 complete. Loss D: 0.17783189767505975, Loss DP: 302.9746334552765, Loss G: 1.559271140396595
Epoch 116 of 300 complete. Loss D: 0.38607226046733556, Loss DP: 302.9746334552765, Loss G: 1.501729290187359
Epoch 117 of 300 complete. Loss D: 0.16864271522499621, Loss DP: 302.9746334552765, Loss G: 1.5320433259010315
Epoch 118 of 300 complete. Loss D: 0.31860611503943803, Loss DP: 302.9746334552765, Loss G: 1.512190943211317
Epoch 119 of 300 complete. Loss D: 0.24790722457692027, Loss DP: 302.9746334552765, Loss G: 1.5285588175058364
Epoch 120 of 300 complete. Loss D: 0.15375352473929524, Loss DP: 302.9746334552765, Loss G: 1.5984550535678863
Epoch 121 of 300 complete. Loss D: 0.221042239619419, Loss DP: 302.9746334552765, Loss G: 1.6534477546811104
Epoch 122 of 300 complete. Loss D: 0.16742856351193042, Loss DP: 302.9746334552765, Loss G: 1.6254273302853108
Epoch 123 of 300 complete. Loss D: 0.21953901629894973, Loss DP: 302.9746334552765, Loss G: 1.6054579988121986
Epoch 124 of 300 complete. Loss D: 0.23895130441524087, Loss DP: 302.9746334552765, Loss G: 1.606721931695938
Epoch 125 of 300 complete. Loss D: 0.15692377325613052, Loss DP: 302.9746334552765, Loss G: 1.6273184448480607
Epoch 126 of 300 complete. Loss D: 0.1346415624022484, Loss DP: 302.9746334552765, Loss G: 1.656483268737793
Epoch 127 of 300 complete. Loss D: 0.15146435853093862, Loss DP: 302.9746334552765, Loss G: 1.7017204463481903
Epoch 128 of 300 complete. Loss D: 0.32154056839644907, Loss DP: 302.9746334552765, Loss G: 1.5611411765217782
Epoch 129 of 300 complete. Loss D: 0.15451460918411614, Loss DP: 302.9746334552765, Loss G: 1.6625218093395233
Epoch 130 of 300 complete. Loss D: 0.24087716341018678, Loss DP: 302.9746334552765, Loss G: 1.6247991874814034
Epoch 131 of 300 complete. Loss D: 0.1218277383595705, Loss DP: 302.9746334552765, Loss G: 1.7252998113632203
Epoch 132 of 300 complete. Loss D: 0.12634031279012561, Loss DP: 302.9746334552765, Loss G: 1.724979317188263
Epoch 133 of 300 complete. Loss D: 0.4606813466642052, Loss DP: 302.9746334552765, Loss G: 1.5257092759478836
Epoch 134 of 300 complete. Loss D: 0.16621668331790715, Loss DP: 302.9746334552765, Loss G: 1.6265313535928727
Epoch 135 of 300 complete. Loss D: 0.12760259087663145, Loss DP: 302.9746334552765, Loss G: 1.7034550875425338
Epoch 136 of 300 complete. Loss D: 0.2920510628260672, Loss DP: 302.9746334552765, Loss G: 1.6090813338756562
Epoch 137 of 300 complete. Loss D: 0.1283583734650165, Loss DP: 302.9746334552765, Loss G: 1.7423130840063095
Epoch 138 of 300 complete. Loss D: 0.10728066880255938, Loss DP: 302.9746334552765, Loss G: 1.7478270471096038
Epoch 139 of 300 complete. Loss D: 0.2020460041007027, Loss DP: 302.9746334552765, Loss G: 1.7620990216732024
Epoch 140 of 300 complete. Loss D: 0.10141028307843954, Loss DP: 302.9746334552765, Loss G: 1.7852147042751312
Epoch 141 of 300 complete. Loss D: 0.12257599390577525, Loss DP: 302.9746334552765, Loss G: 1.840339058637619
Epoch 142 of 300 complete. Loss D: 0.0913939526071772, Loss DP: 302.9746334552765, Loss G: 1.847818586230278
Epoch 143 of 300 complete. Loss D: 0.38531156710814685, Loss DP: 302.9746334552765, Loss G: 1.7095953583717347
Epoch 144 of 300 complete. Loss D: 0.12264275276102125, Loss DP: 302.9746334552765, Loss G: 1.7968049839138984
Epoch 145 of 300 complete. Loss D: 0.09743757906835526, Loss DP: 302.9746334552765, Loss G: 1.8204094886779785
Epoch 146 of 300 complete. Loss D: 0.1728433789103292, Loss DP: 302.9746334552765, Loss G: 1.842562672123313
Epoch 147 of 300 complete. Loss D: 0.27653723193798213, Loss DP: 302.9746334552765, Loss G: 1.7847125828266144
Epoch 148 of 300 complete. Loss D: 0.12192630982608535, Loss DP: 302.9746334552765, Loss G: 1.839245182275772
Epoch 149 of 300 complete. Loss D: 0.11627289862371981, Loss DP: 302.9746334552765, Loss G: 1.8644269719719886
Epoch 150 of 300 complete. Loss D: 0.22410651934333145, Loss DP: 302.9746334552765, Loss G: 1.8856868110597134
Epoch 151 of 300 complete. Loss D: 0.1331502796150744, Loss DP: 302.9746334552765, Loss G: 1.83974332511425
Epoch 152 of 300 complete. Loss D: 0.09552299685310572, Loss DP: 302.9746334552765, Loss G: 1.8646177232265473
Epoch 153 of 300 complete. Loss D: 0.08596929052728228, Loss DP: 302.9746334552765, Loss G: 1.9499624818563461
Epoch 154 of 300 complete. Loss D: 0.08498185933567584, Loss DP: 302.9746334552765, Loss G: 2.0311762988567352
Epoch 155 of 300 complete. Loss D: 0.35113317251671106, Loss DP: 302.9746334552765, Loss G: 1.720298453234136
Epoch 156 of 300 complete. Loss D: 0.1230152356904, Loss DP: 302.9746334552765, Loss G: 1.9602426767349244
Epoch 157 of 300 complete. Loss D: 0.09675969623494893, Loss DP: 302.9746334552765, Loss G: 1.9462610721588134
Epoch 158 of 300 complete. Loss D: 0.30835838136263194, Loss DP: 302.9746334552765, Loss G: 1.6963754877448083
Epoch 159 of 300 complete. Loss D: 0.10188091138843447, Loss DP: 302.9746334552765, Loss G: 1.9127800166606903
Epoch 160 of 300 complete. Loss D: 0.07989605604670942, Loss DP: 302.9746334552765, Loss G: 2.017100542783737
Epoch 161 of 300 complete. Loss D: 0.07435463990550488, Loss DP: 302.9746334552765, Loss G: 2.028566488623619
Epoch 162 of 300 complete. Loss D: 0.07073338968912139, Loss DP: 302.9746334552765, Loss G: 2.0310725569725037
Epoch 163 of 300 complete. Loss D: 0.06490287479246035, Loss DP: 302.9746334552765, Loss G: 2.0701157599687576
Epoch 164 of 300 complete. Loss D: 0.3471867590676993, Loss DP: 302.9746334552765, Loss G: 1.8609902083873748
Epoch 165 of 300 complete. Loss D: 0.12370338086038828, Loss DP: 302.9746334552765, Loss G: 1.9385897368192673
Epoch 166 of 300 complete. Loss D: 0.07545997117413208, Loss DP: 302.9746334552765, Loss G: 2.068418335914612
Epoch 167 of 300 complete. Loss D: 0.18432786448393018, Loss DP: 302.9746334552765, Loss G: 2.039701688289642
Epoch 168 of 300 complete. Loss D: 0.06762543083168567, Loss DP: 302.9746334552765, Loss G: 2.0746511310338973
Epoch 169 of 300 complete. Loss D: 0.06633436508709564, Loss DP: 302.9746334552765, Loss G: 2.0993384957313537
Epoch 170 of 300 complete. Loss D: 0.0548762311344035, Loss DP: 302.9746334552765, Loss G: 2.1263893991708755
Epoch 171 of 300 complete. Loss D: 0.38774928147904575, Loss DP: 302.9746334552765, Loss G: 1.63997050691396
Epoch 172 of 300 complete. Loss D: 0.15264263891149313, Loss DP: 302.9746334552765, Loss G: 1.983694176375866
Epoch 173 of 300 complete. Loss D: 0.07033036082284524, Loss DP: 302.9746334552765, Loss G: 2.0169950485229493
Epoch 174 of 300 complete. Loss D: 0.056424727675039324, Loss DP: 302.9746334552765, Loss G: 2.101730909943581
Epoch 175 of 300 complete. Loss D: 0.05136118709342554, Loss DP: 302.9746334552765, Loss G: 2.1693384498357773
Epoch 176 of 300 complete. Loss D: 0.12903698128648103, Loss DP: 302.9746334552765, Loss G: 2.3786462374206168
Epoch 177 of 300 complete. Loss D: 0.5324429322965443, Loss DP: 302.9746334552765, Loss G: 1.8733855873346328
Epoch 178 of 300 complete. Loss D: 0.109440783620812, Loss DP: 302.9746334552765, Loss G: 2.0703068345785143
Epoch 179 of 300 complete. Loss D: 0.19855559325078503, Loss DP: 302.9746334552765, Loss G: 2.0083385795354842
Epoch 180 of 300 complete. Loss D: 0.07405607998371125, Loss DP: 302.9746334552765, Loss G: 2.0295719772577288
Epoch 181 of 300 complete. Loss D: 0.05405561709194444, Loss DP: 302.9746334552765, Loss G: 2.1304713904857637
Epoch 182 of 300 complete. Loss D: 0.05287894557841355, Loss DP: 302.9746334552765, Loss G: 2.160490643978119
Epoch 183 of 300 complete. Loss D: 0.04573420947417617, Loss DP: 302.9746334552765, Loss G: 2.18578439950943
Epoch 184 of 300 complete. Loss D: 0.04854051423026249, Loss DP: 302.9746334552765, Loss G: 2.2549101561307907
Epoch 185 of 300 complete. Loss D: 0.2528467178926803, Loss DP: 302.9746334552765, Loss G: 2.0212885668501257
Epoch 186 of 300 complete. Loss D: 0.193330718355719, Loss DP: 302.9746334552765, Loss G: 2.102581999823451
